episode,step,episode_distraction_prob,x,y,dx,dy,dist_to_goal,dist_to_distractor,local_distractor,focus,speed,dir_change,fatigue
2,13,0.4911937974709337,9,9,0,0,0.0,12.041594578792296,0,0,0.0,1.0,6
2,14,0.4911937974709337,9,9,0,0,0.0,7.0710678118654755,0,0,0.0,0.0,7
2,15,0.4911937974709337,8,9,-1,1,1.0,3.1622776601683795,0,0,1.4142135623730951,2.0,8
2,16,0.4911937974709337,9,9,1,0,0.0,7.0,0,1,1.0,3.0,8
2,17,0.4911937974709337,9,9,0,0,0.0,9.899494936611665,0,0,0.0,1.0,9
2,18,0.4911937974709337,9,9,1,1,0.0,6.324555320336759,0,0,1.4142135623730951,2.0,10
2,19,0.4911937974709337,8,8,-1,-1,1.4142135623730951,4.47213595499958,0,0,1.4142135623730951,4.0,11
2,20,0.4911937974709337,9,9,1,1,0.0,8.06225774829855,0,1,1.4142135623730951,4.0,11
2,21,0.4911937974709337,8,9,-1,0,1.0,10.816653826391969,0,0,1.0,3.0,12
2,22,0.4911937974709337,9,9,1,0,0.0,6.082762530298219,0,1,1.0,2.0,12
2,23,0.4911937974709337,9,9,0,0,0.0,4.47213595499958,0,0,0.0,1.0,13
2,24,0.4911937974709337,9,9,1,1,0.0,9.219544457292887,0,0,1.4142135623730951,2.0,14
2,25,0.4911937974709337,9,9,0,0,0.0,7.0710678118654755,0,0,0.0,2.0,15
2,26,0.4911937974709337,9,9,0,0,0.0,8.06225774829855,0,0,0.0,0.0,16
2,27,0.4911937974709337,9,9,0,0,0.0,11.313708498984761,0,0,0.0,0.0,17
2,28,0.4911937974709337,8,9,-1,1,1.0,8.06225774829855,0,0,1.4142135623730951,2.0,18
2,29,0.4911937974709337,9,9,1,0,0.0,6.0,0,1,1.0,3.0,18
2,30,0.4911937974709337,9,9,0,0,0.0,10.816653826391969,0,0,0.0,1.0,19
2,31,0.4911937974709337,9,9,0,0,0.0,10.295630140987,0,0,0.0,0.0,20
2,32,0.4911937974709337,9,9,0,0,0.0,6.324555320336759,0,0,0.0,0.0,21
2,33,0.4911937974709337,9,9,0,0,0.0,3.605551275463989,0,0,0.0,0.0,22
2,34,0.4911937974709337,9,9,0,0,0.0,11.40175425099138,0,0,0.0,0.0,23
2,35,0.4911937974709337,9,9,0,1,0.0,11.40175425099138,0,0,1.0,1.0,24
2,36,0.4911937974709337,9,9,0,0,0.0,5.0,0,0,0.0,1.0,25
2,37,0.4911937974709337,9,9,0,0,0.0,5.656854249492381,0,0,0.0,0.0,26
2,38,0.4911937974709337,9,9,0,0,0.0,8.06225774829855,0,0,0.0,0.0,27
2,39,0.4911937974709337,9,8,0,-1,1.0,4.47213595499958,0,0,1.0,1.0,28
2,40,0.4911937974709337,9,9,0,1,0.0,8.94427190999916,0,1,1.0,2.0,28
2,41,0.4911937974709337,9,9,0,0,0.0,12.727922061357855,0,0,0.0,1.0,29
2,42,0.4911937974709337,9,9,0,0,0.0,8.602325267042627,0,0,0.0,0.0,30
2,43,0.4911937974709337,9,9,0,0,0.0,9.219544457292887,0,0,0.0,0.0,31
2,44,0.4911937974709337,9,9,0,0,0.0,12.727922061357855,0,0,0.0,0.0,32
2,45,0.4911937974709337,9,9,0,0,0.0,6.4031242374328485,0,0,0.0,0.0,33
2,46,0.4911937974709337,9,9,0,0,0.0,7.0710678118654755,0,0,0.0,0.0,34
2,47,0.4911937974709337,9,8,1,-1,1.0,5.385164807134504,0,0,1.4142135623730951,2.0,35
2,48,0.4911937974709337,9,9,0,1,0.0,9.848857801796104,0,1,1.0,3.0,35
2,49,0.4911937974709337,9,9,0,0,0.0,11.40175425099138,0,0,0.0,1.0,36
3,0,0.4394782937657222,4,5,1,1,6.4031242374328485,5.0,0,1,1.4142135623730951,0.0,0
3,1,0.4394782937657222,5,6,1,1,5.0,4.47213595499958,0,1,1.4142135623730951,0.0,0
